,categories_hierarchy,mega_cat
0,'en:Fruit-jams',['FRUTAS' 'LIPIDOS']
1,'en:advent-calendars',[nan]
2,'en:agar-agar',[nan]
3,'en:agave-syrups',['LIPIDOS']
4,'en:aiolis',[nan]
5,'en:albacore',[nan]
6,'en:alexandrian-senna',[nan]
7,'en:almond-creme-filled-wafers',[nan]
8,'en:almond-meal',[nan]
9,'en:almond-milks',['LACTEOS']
10,'en:almond-paste',[nan]
11,'en:almond-turron',['LIPIDOS']
12,'en:almonds',['LEGUMBRES']
13,'en:anchovy',[nan]
14,'en:anchovy-fillets',['CARNE']
15,'en:anchovy-paste',[nan]
16,'en:animal-fats',[nan]
17,'en:anise',[nan]
18,'en:anticaking-agents',[nan]
19,'en:appetizers',[nan]
20,'en:apple-compotes',['FRUTAS']
21,'en:apple-juices',['FRUTAS']
22,'en:apple-pastes',['FRUTAS']
23,'en:apple-soft-drinks',['FRUTAS' 'BEBIDAS']
24,'en:apple-yogurts',['LACTEOS' 'FRUTAS']
25,'en:apricot-cereal-bars',['CEREALES']
26,'en:apricot-jams',['LIPIDOS']
27,'en:arame-seaweeds',[nan]
28,'en:arborio-rices',['CEREALES']
29,'en:aromatic-herbs',[nan]
30,'en:aromatic-plants',[nan]
31,'en:aromatic-rices',['CEREALES']
32,'en:artichoke-hearts',[nan]
33,'en:artichokes',['HORTALIZAS']
34,'en:artificial-sugar-substitutes',['LIPIDOS']
35,'en:artificially-sweetened-beverages',['LIPIDOS' 'BEBIDAS']
36,'en:artisan-products',[nan]
37,'en:asparagus',['HORTALIZAS']
38,'en:aspartame',[nan]
39,'en:baby-foods',[nan]
40,'en:baby-fruit-desserts',['FRUTAS']
41,'en:baby-milks',['LACTEOS']
42,'en:bacon',[nan]
43,'en:baguettes',[nan]
44,'en:baker-s-yeast',[nan]
45,'en:bakery-products',['CEREALES']
46,'en:balsamic-vinegars',[nan]
47,'en:balsamic-vinegars-of-modena',[nan]
48,'en:banana-nectars',['FRUTAS']
49,'en:banderillas',[nan]
50,'en:barbecue-sauces',[nan]
51,'en:bars',[nan]
52,'en:basil',[nan]
53,'en:basmati-rices',['CEREALES']
54,'en:bay-laurel',[nan]
55,'en:bechamel-sauces',['CARNE']
56,'en:bee-products',['LIPIDOS']
57,'en:beet',['LIPIDOS']
58,'en:berries',['FRUTAS']
59,'en:berry-jams',['LIPIDOS']
60,'en:beverages',['BEBIDAS']
61,'en:bicarbonates-of-soda',[nan]
62,'en:bifidus-yogurts',['LACTEOS']
63,'en:bilberries-jams',['LIPIDOS' 'FRUTAS']
64,'en:biscuits',['CEREALES']
65,'en:biscuits-and-cakes',['CEREALES']
66,'en:biscuits-for-babies',['CEREALES']
67,'en:black-beans',['LEGUMBRES']
68,'en:black-chopped-olives',['HORTALIZAS']
69,'en:black-olives',['HORTALIZAS']
70,'en:black-peppercorns',['CEREALES']
71,'en:black-peppers',['LEGUMBRES']
72,'en:black-pitted-olives',['HORTALIZAS']
73,'en:black-pudding',[nan]
74,'en:black-teas',['BEBIDAS']
75,'en:blackberry-yogurts',['LACTEOS']
76,'en:blanched-roasted-hazelnuts',['LEGUMBRES']
77,'en:blonde-lentils',['LEGUMBRES']
78,'en:blue-veined-cheeses',['LACTEOS']
79,'en:blueberries',['FRUTAS']
80,'en:blueberry-juices',[nan]
81,'en:blueberry-yogurts',['LACTEOS']
82,'en:bodybuilding-supplements',[nan]
83,'en:bolognese-lasagne',[nan]
