,mini,mega_cat
0,bg:dairy-products,['LACTEOS']
1,cs:sugar-snacks,['LIPIDOS']
2,cs:sweet-bar,['LIPIDOS']
3,da:beers-from-denmark,['ALCOHOL' 'LIPIDOS']
4,de:braeburn-apples,['FRUTAS']
5,de:brotchips,['CEREALES']
6,de:butterschmalz,['LIPIDOS']
7,de:cerealien,['CEREALES']
8,de:citronat,['FRUTAS']
9,de:citronensäure,['FRUTAS']
10,de:fruit-sauces,['FRUTAS']
11,de:halsbonbons,['LIPIDOS']
12,de:hustenbonbons,['LIPIDOS']
13,de:joghurtdrink,['BEBIDAS']
14,de:kaubonbons,['LIPIDOS']
15,de:kaubonbonstreifen,['LIPIDOS']
16,de:kesselchips,['CEREALES']
17,de:kräuterbonbons,['LIPIDOS']
18,de:milchdrink,['BEBIDAS']
19,de:nuss-nougat-creme,['LACTEOS']
20,de:rote-johannisbeeren,['ALCOHOL' 'LIPIDOS']
21,de:schokocreme,['LACTEOS']
22,de:schokoladencreme,['LACTEOS']
23,de:shampoo,['CARNE']
24,de:shelled-peanuts,['LEGUMBRES']
25,de:softdrinks,['BEBIDAS']
26,de:sojafleisch,['HORTALIZAS']
27,de:streichcreme,['LACTEOS']
28,de:tomatenketchup,['HORTALIZAS']
29,de:tomatensauce,['HORTALIZAS']
30,de:tomato-ketchup,['HORTALIZAS']
31,de:vanilleeis,['FRUTAS']
32,en:10-red-wine,['ALCOHOL']
33,en:11-dry-white-wine,['ALCOHOL']
34,en:11-rose-wine,['ALCOHOL']
35,en:12-red-wine,['ALCOHOL']
36,en:13-red-wine,['ALCOHOL']
37,en:3-cheese-pizza,['LACTEOS']
38,en:30-40-lightly-salted-blended-fat-with-vegetable-and-animal-origins,['HORTALIZAS' 'CEREALES']
39,en:5-beer,['ALCOHOL' 'LIPIDOS']
40,en:50-63-lightly-salted-blended-fat-with-vegetable-and-animal-origins,['HORTALIZAS' 'CEREALES']
41,en:70-unsalted-vegetable-fat-margarine-type,['HORTALIZAS' 'CEREALES']
42,en:abbaye-cheeses,['LACTEOS']
43,en:abbey-beer,['ALCOHOL' 'LIPIDOS']
44,en:acacia-honeys,['LIPIDOS']
45,en:acacia-honeys-from-alsace,['LIPIDOS']
46,en:acacia-honeys-from-jura,['LIPIDOS']
47,en:acidic-apples,['FRUTAS']
48,en:agave-syrups,['LIPIDOS']
